iter	Logloss
0	0.5649280267
1	0.474169015
2	0.3966057151
3	0.3352318245
4	0.2851365402
5	0.2514855859
6	0.2206594393
7	0.1981412738
8	0.1786059596
9	0.166650542
10	0.1538899543
11	0.1427897268
12	0.1324298069
13	0.1249692625
14	0.1177244302
15	0.1110442096
16	0.1038209986
17	0.09877811924
18	0.09400355116
19	0.09014858997
20	0.08654257558
21	0.08357554585
22	0.08121546721
23	0.07789821623
24	0.07559207694
25	0.07350725762
26	0.07095752646
27	0.06910910599
28	0.0675588491
29	0.0656178549
30	0.06440542502
31	0.06351551572
32	0.06200166562
33	0.06068777063
34	0.05976425264
35	0.05867750246
36	0.05788959961
37	0.05620253029
38	0.05471493641
39	0.05363727992
40	0.05290165635
41	0.05226280406
42	0.05196441455
43	0.05096605818
44	0.05019431536
45	0.04951759895
46	0.0491471538
47	0.04839124964
48	0.04748870361
49	0.04678353895
50	0.04544895822
51	0.04449183969
52	0.04364710758
53	0.04316753553
54	0.04209204493
55	0.04155622598
56	0.0407988928
57	0.04021222366
58	0.03976997984
59	0.03900377198
60	0.0385301588
61	0.03771304891
62	0.03724953899
63	0.0364540413
64	0.03555798331
65	0.03512894773
66	0.03481434149
67	0.0346209745
68	0.03405960693
69	0.03354002454
70	0.03300220078
71	0.03241683511
72	0.03232716052
73	0.03178488916
74	0.03166200961
75	0.03154352049
76	0.03118833466
77	0.0306890763
78	0.03060574049
79	0.02999095522
80	0.02959160715
81	0.02928310301
82	0.0289896536
83	0.02857795588
84	0.02849520983
85	0.02807704891
86	0.02769051106
87	0.02758257925
88	0.02737757409
89	0.02714203535
90	0.02695243933
91	0.0265724884
92	0.02649929474
93	0.02611613228
94	0.02580233619
95	0.02542749926
96	0.02507670934
97	0.02507669836
98	0.02496468084
99	0.02466277451
100	0.02437616196
101	0.02410678507
102	0.02382983915
103	0.02358322444
104	0.02333790419
105	0.0230812878
106	0.02300943246
107	0.02298745864
108	0.02274270716
109	0.02274258453
110	0.02260700858
111	0.02247133079
112	0.02224925518
113	0.02224911547
114	0.02220269924
115	0.02202673506
116	0.02164275019
117	0.02158571151
118	0.02156405312
119	0.02156398742
120	0.02152539688
121	0.02149822245
122	0.02117523488
123	0.02098384117
124	0.02071029792
125	0.0207102655
126	0.02069456773
127	0.02066092933
128	0.02043888252
129	0.02027905127
130	0.02026066311
131	0.02025238319
132	0.02019424515
133	0.02012826049
134	0.02009682903
135	0.01988444247
136	0.0198843913
137	0.01984595904
138	0.01984595904
139	0.01980460371
140	0.01980457918
141	0.01980458134
142	0.01974905965
143	0.01974903117
144	0.01974903876
145	0.01974902713
146	0.01964402689
147	0.01962352493
148	0.01959479404
149	0.01957662324
150	0.01954900131
151	0.01948363498
152	0.01942111237
153	0.01915177833
154	0.01915172437
155	0.01896256921
156	0.01878276788
157	0.01839891248
158	0.01823745872
159	0.01807299186
160	0.01793875088
161	0.01783279843
162	0.01769113479
163	0.01747711215
164	0.01735596981
165	0.0172792255
166	0.01712530935
167	0.01689297606
168	0.01679080525
169	0.01668685874
170	0.01653765763
171	0.01648189194
172	0.01640348122
173	0.01627647921
174	0.01620481799
175	0.0160935991
176	0.01586626776
177	0.0156772347
178	0.01536480739
179	0.01520645323
180	0.0151676293
181	0.01504180077
182	0.01493188297
183	0.01471463422
184	0.01459133145
185	0.01445547781
186	0.01427748246
187	0.01409062475
188	0.01397683541
189	0.01377597975
190	0.01358876699
191	0.01350883483
192	0.01336753671
193	0.01322472162
194	0.01314144625
195	0.01303948847
196	0.01290921035
197	0.01268050378
198	0.01263548348
199	0.01245226698
200	0.01238257128
201	0.01226933041
202	0.01212618604
203	0.0119875675
204	0.01195857107
205	0.01188355133
206	0.01170728189
207	0.01170719038
208	0.01165692193
209	0.01162623803
210	0.01162621447
211	0.01150071931
212	0.01144247898
213	0.01144243813
214	0.0114146982
215	0.01130482891
216	0.01116814287
217	0.01101911434
218	0.01085011885
219	0.01079567713
220	0.01078073062
221	0.01072964315
222	0.01069161807
223	0.01064456964
224	0.01051879604
225	0.01043105998
226	0.01036359732
227	0.01019484643
228	0.01015189992
229	0.010066586
230	0.009997404401
231	0.009932331913
232	0.009833569162
233	0.009799818467
234	0.009724171127
235	0.009664322616
236	0.009613452889
237	0.009573669352
238	0.00944741007
239	0.009348404587
240	0.00931719535
241	0.009255715017
242	0.009110594653
243	0.009061458094
244	0.009061454557
245	0.008993269889
246	0.00899325426
247	0.008976516259
248	0.008928368683
249	0.008869993053
250	0.008744604029
251	0.008697044923
252	0.008629733915
253	0.008588833952
254	0.008588837377
255	0.008588817871
256	0.008547226387
257	0.008478167761
258	0.008458424928
259	0.008397413962
260	0.008365902677
261	0.008326517092
262	0.008326521694
263	0.008326507392
264	0.008295551078
265	0.008245314267
266	0.008245302534
267	0.008144416527
268	0.008103628663
269	0.007998478281
270	0.007950455446
271	0.007859497939
272	0.007835866425
273	0.007835863839
274	0.007835834828
275	0.007789925665
276	0.007742466719
277	0.007742447938
278	0.007742435187
279	0.007707451373
280	0.007670213508
281	0.007670219309
282	0.007636854801
283	0.007571002254
284	0.007571002254
285	0.007570920435
286	0.007570912305
287	0.007527307931
288	0.007488254637
289	0.00748825077
290	0.007488150658
291	0.007488150658
292	0.007488136568
293	0.007488125982
294	0.007488079573
295	0.0074880511
296	0.007487988928
297	0.007487968184
298	0.007487966392
299	0.007487907529
300	0.007487904269
301	0.007487763786
302	0.007487769999
303	0.007464783064
304	0.007464788414
305	0.007464757195
306	0.007464757195
307	0.007464757195
308	0.007464740609
309	0.007350576956
310	0.00735056328
311	0.007350549144
312	0.007350497148
313	0.007350501485
314	0.007350473224
315	0.007350462299
316	0.007322636327
317	0.007322640106
318	0.007258716801
319	0.00720716571
320	0.007169692583
321	0.007130978696
322	0.007130882723
323	0.0070965333
324	0.007071028736
325	0.007071028736
326	0.007047156645
327	0.007047152746
328	0.007047140283
329	0.007047035783
330	0.006964799196
331	0.006964793663
332	0.006930923123
333	0.006898873314
334	0.006875742277
